 "DateTime","Private Employment"
"2010-01-01 00:00:00",104041000
"2010-02-01 00:00:00",103998000
"2010-03-01 00:00:00",104000000
"2010-04-01 00:00:00",104277000
"2010-05-01 00:00:00",104364000
"2010-06-01 00:00:00",104420000
"2010-07-01 00:00:00",104647000
"2010-08-01 00:00:00",104723000
"2010-09-01 00:00:00",104847000
"2010-10-01 00:00:00",104878000
"2010-11-01 00:00:00",105109000
"2010-12-01 00:00:00",105002000
"2011-01-01 00:00:00",105312000
"2011-02-01 00:00:00",105540000
"2011-03-01 00:00:00",105921000
"2011-04-01 00:00:00",106118000
"2011-05-01 00:00:00",106342000
"2011-06-01 00:00:00",106685000
"2011-07-01 00:00:00",106929000
"2011-08-01 00:00:00",107133000
"2011-09-01 00:00:00",107383000
"2011-10-01 00:00:00",107584000
"2011-11-01 00:00:00",107839000
"2011-12-01 00:00:00",107916000
"2012-01-01 00:00:00",108132000
"2012-02-01 00:00:00",108425000
"2012-03-01 00:00:00",108665000
"2012-04-01 00:00:00",108928000
"2012-05-01 00:00:00",109212000
"2012-06-01 00:00:00",109336000
"2012-07-01 00:00:00",109318000
"2012-08-01 00:00:00",109584000
"2012-09-01 00:00:00",109801000
"2012-10-01 00:00:00",109974000
"2012-11-01 00:00:00",110186000
"2012-12-01 00:00:00",110161000
"2013-01-01 00:00:00",110509000
"2013-02-01 00:00:00",110657000
"2013-03-01 00:00:00",110948000
"2013-04-01 00:00:00",111101000
"2013-05-01 00:00:00",111367000
"2013-06-01 00:00:00",111582000
"2013-07-01 00:00:00",111761000
"2013-08-01 00:00:00",112048000
"2013-09-01 00:00:00",112043000
"2013-10-01 00:00:00",112180000
"2013-11-01 00:00:00",112496000
"2013-12-01 00:00:00",112752000
"2014-01-01 00:00:00",112901000
"2014-02-01 00:00:00",113159000
"2014-03-01 00:00:00",113356000
"2014-04-01 00:00:00",113771000
"2014-05-01 00:00:00",114059000
"2014-06-01 00:00:00",114364000
"2014-07-01 00:00:00",114716000
"2014-08-01 00:00:00",114897000
"2014-09-01 00:00:00",115067000
"2014-10-01 00:00:00",115457000
